,site,site_id,date,time,ANCH,BANA,CAGR,GRHE,LBHE,SNPI,SPTH,TRMO,GRAK,HOWR,LAGU,MAFR,ZEND,COGA,CGDO,YCNH,BBWD,BWVI,BWHA,MACU,BFGR,GBHE,GFLY,CAMA,BEKI,BARS,LANB,SPSA,YBEL,YBSE,EADO,LATA,SBAN,SHCO
13,Levera,LV_T2_P3,2020-04-30,75,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Levera,LV_T3_P1,2020-04-30,75,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Levera,LV_T3_P3,2020-04-30,75,2,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Levera,LV_T45,2020-04-30,75,1.5,6.5,0,0,0,0,0,1,0,1.5,0,0,1,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Levera,LV_T6_P1,2020-04-30,75,3,7,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Levera,LV_T6_P3,2020-04-30,75,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Levera,LV_T7_P1,2020-04-30,75,0,7,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
27,Levera,LV_T7_P3,2020-04-30,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
31,Mt. Hartman,MH_T1_P3,2020-05-04,79,2,2,3,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
33,Mt. Hartman,MH_T2_P3,2020-05-04,79,1,4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,1,0
34,Westerhall,WH_T1,2020-05-04,79,0,6,3,0,1,14,0,5,0,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,3
35,Westerhall,WH_T2,2020-05-04,79,0,5,2,0,0,4,0,2,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
37,Westerhall,WH_T3,2020-05-04,79,0,4,3,1,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
39,Westerhall,WH_T4,2020-05-04,79,0,4,0,0,2,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
3,Conference,CN_T1,2020-05-20,95,0,3,0,0,0,0,1,0,0,1,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Conference,CN_T2,2020-05-20,95,0,4,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Levera,LV_T1_P1,2020-05-31,106,0,5,0,0,0,5,0,0,0,0,4,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Levera,LV_T1_P3,2020-05-31,106,1,4,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Levera,LV_T2_P1,2020-05-31,106,1,6,0,0,0,4,0,0,0,0,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Levera,LV_T2_P3,2020-05-31,106,0,5,0,2,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Levera,LV_T3_P1,2020-05-31,106,0,0,2,0,0,10,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Levera,LV_T3_P3,2020-05-31,106,1,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Levera,LV_T45,2020-05-31,106,0,4,2,0,0,7,0,1.66,0,1,2,0,0,7.5,1,0,7,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0
22,Levera,LV_T6_P1,2020-05-31,106,0,8,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Levera,LV_T6_P3,2020-05-31,106,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
26,Levera,LV_T7_P1,2020-05-31,106,0,6,0,1,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
28,Levera,LV_T7_P3,2020-05-31,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,3,0,0,0,0,0,0,0,0
